Year,Sex,Age Group,Race or Ethnicity,Selected Cause of Death,Deaths
2016,M,25-34,Black Non Hispanic,All Other Causes,197
2016,M,75-84,Hispanic,Malignant Neoplasms,365
2016,F,19-Oct,Hispanic,Total,25
2016,M,65-74,White Non Hispanic,AIDS,13
2016,F,45-54,Not Stated,Diseases of the Heart,8
2016,F,45-54,Hispanic,Cerebrovascular Disease,20
2016,F,9-Jan,Black Non Hispanic,All Other Causes,13
2016,F,9-Jan,White Non Hispanic,Total,60
2016,M,25-34,Other Non Hispanic,Total,77
2016,M,<1,Hispanic,Malignant Neoplasms,2
2016,M,19-Oct,White Non Hispanic,Pneumonia,1
2016,M,85+,Black Non Hispanic,Total,"1,317"
2016,M,65-74,Other Non Hispanic,Cerebrovascular Disease,31
2016,M,9-Jan,Hispanic,Pneumonia,1
2016,F,45-54,White Non Hispanic,Accidents,193
2016,F,65-74,White Non Hispanic,Cerebrovascular Disease,281
2016,F,65-74,Not Stated,Total,154
2016,M,35-44,Other Non Hispanic,AIDS,1
2016,F,9-Jan,Hispanic,Accidents,2
2016,F,<1,Black Non Hispanic,Diseases of the Heart,2
2016,M,20-24,Black Non Hispanic,Cerebrovascular Disease,1
2016,M,<1,Hispanic,Total,95
2016,F,35-44,Hispanic,AIDS,3
2016,F,85+,White Non Hispanic,Cerebrovascular Disease,"1,562"
2016,M,75-84,Hispanic,Accidents,25
2016,F,<1,Black Non Hispanic,Malignant Neoplasms,1
2016,M,45-54,Hispanic,Pneumonia,12
2016,M,9-Jan,Black Non Hispanic,Malignant Neoplasms,6
2016,M,9-Jan,Black Non Hispanic,CLRD,5
2016,F,75-84,White Non Hispanic,Total,"12,897"
2016,M,55-64,Hispanic,Accidents,124
2016,M,65-74,White Non Hispanic,CLRD,599
2016,F,25-34,White Non Hispanic,Accidents,199
2016,M,65-74,Hispanic,Pneumonia,55
2016,M,45-54,Not Stated,Diseases of the Heart,28
2016,M,35-44,White Non Hispanic,CLRD,13
2016,F,75-84,White Non Hispanic,Pneumonia,315
2016,M,<1,Black Non Hispanic,CLRD,2
2016,F,45-54,Black Non Hispanic,Pneumonia,12
2016,F,75-84,Hispanic,Diseases of the Heart,504
2016,F,85+,Hispanic,All Other Causes,820
2016,M,55-64,Not Stated,All Other Causes,51
2016,M,45-54,Black Non Hispanic,Malignant Neoplasms,222
2016,F,25-34,Black Non Hispanic,Cerebrovascular Disease,3
2016,F,65-74,Not Stated,CLRD,5
2016,F,19-Oct,Other Non Hispanic,Malignant Neoplasms,1
2016,M,65-74,Other Non Hispanic,Accidents,17
2016,F,35-44,White Non Hispanic,All Other Causes,241
2016,F,35-44,Other Non Hispanic,Total,67
2016,F,25-34,Other Non Hispanic,Diseases of the Heart,3
2016,M,35-44,Hispanic,Pneumonia,5
2016,M,20-24,Hispanic,Malignant Neoplasms,13
2016,M,25-34,White Non Hispanic,All Other Causes,358
2016,F,85+,Black Non Hispanic,Diabetes Mellitus,13
2016,M,75-84,White Non Hispanic,AIDS,6
2016,F,55-64,Other Non Hispanic,Malignant Neoplasms,135
2016,M,19-Oct,Black Non Hispanic,Total,93
2016,F,25-34,Not Stated,Malignant Neoplasms,1
2016,F,65-74,Black Non Hispanic,Total,"2,002"
2016,M,19-Oct,Black Non Hispanic,Pneumonia,2
2016,F,85+,Black Non Hispanic,Accidents,31
2016,M,55-64,Not Stated,Diseases of the Heart,52
2016,F,19-Oct,Hispanic,Diseases of the Heart,1
2016,F,65-74,Black Non Hispanic,All Other Causes,533
2016,M,25-34,Other Non Hispanic,Cerebrovascular Disease,1
2016,F,19-Oct,Other Non Hispanic,All Other Causes,4
2016,M,75-84,Hispanic,CLRD,44
2016,F,45-54,White Non Hispanic,Diabetes Mellitus,3
2016,M,65-74,Other Non Hispanic,Malignant Neoplasms,219
2016,F,85+,White Non Hispanic,All Other Causes,"10,325"
2016,M,85+,White Non Hispanic,AIDS,3
2016,F,85+,Black Non Hispanic,CLRD,79
2016,F,9-Jan,Not Stated,Malignant Neoplasms,3
2016,M,45-54,Not Stated,All Other Causes,23
2016,M,45-54,Other Non Hispanic,Cerebrovascular Disease,8
2016,M,55-64,Not Stated,Cerebrovascular Disease,6
2016,F,19-Oct,White Non Hispanic,Accidents,29
2016,F,35-44,Hispanic,Total,214
2016,M,25-34,Black Non Hispanic,Pneumonia,2
2016,F,25-34,Hispanic,Accidents,29
2016,M,9-Jan,White Non Hispanic,Total,67
2016,M,19-Oct,Black Non Hispanic,Accidents,14
2016,F,65-74,Not Stated,Pneumonia,6
2016,F,35-44,Black Non Hispanic,CLRD,4
2016,F,65-74,Hispanic,Pneumonia,39
2016,M,75-84,Other Non Hispanic,CLRD,32
2016,F,25-34,White Non Hispanic,Total,479
2016,F,35-44,Black Non Hispanic,Diseases of the Heart,40
2016,M,85+,Black Non Hispanic,Pneumonia,63
2016,M,19-Oct,Other Non Hispanic,Total,7
2016,F,9-Jan,Hispanic,All Other Causes,10
2016,M,19-Oct,Not Stated,Accidents,2
2016,M,75-84,Not Stated,Malignant Neoplasms,40
2016,F,9-Jan,White Non Hispanic,Diseases of the Heart,2
2016,M,55-64,Hispanic,Pneumonia,28
2016,M,9-Jan,White Non Hispanic,Malignant Neoplasms,12
2016,M,75-84,Other Non Hispanic,Total,751
2016,M,55-64,White Non Hispanic,Cerebrovascular Disease,157
2016,F,25-34,Black Non Hispanic,Pneumonia,3
2016,F,55-64,White Non Hispanic,AIDS,4
2016,M,55-64,White Non Hispanic,All Other Causes,"2,038"
2016,M,20-24,Hispanic,CLRD,1
2016,M,25-34,Black Non Hispanic,Accidents,90
2016,F,19-Oct,Black Non Hispanic,CLRD,6
2016,M,85+,White Non Hispanic,Accidents,383
2016,M,55-64,Black Non Hispanic,Diabetes Mellitus,12
2016,F,19-Oct,White Non Hispanic,Diseases of the Heart,5
2016,M,25-34,White Non Hispanic,AIDS,1
2016,M,20-24,Other Non Hispanic,Malignant Neoplasms,1
2016,F,25-34,Other Non Hispanic,Cerebrovascular Disease,2
2016,M,65-74,White Non Hispanic,Pneumonia,206
2016,M,19-Oct,Not Stated,Total,8
2016,M,85+,Not Stated,CLRD,6
2016,F,9-Jan,White Non Hispanic,CLRD,2
2016,F,75-84,Other Non Hispanic,All Other Causes,167
2016,M,45-54,White Non Hispanic,CLRD,51
2016,M,45-54,Black Non Hispanic,Cerebrovascular Disease,41
2016,M,85+,Other Non Hispanic,Total,655
2016,F,75-84,White Non Hispanic,Diabetes Mellitus,75
2016,M,19-Oct,Black Non Hispanic,Malignant Neoplasms,5
2016,F,19-Oct,Black Non Hispanic,AIDS,1
2016,F,35-44,Black Non Hispanic,Accidents,39
2016,M,55-64,Other Non Hispanic,Diseases of the Heart,120
2016,M,55-64,Not Stated,AIDS,8
2016,F,35-44,Not Stated,Diseases of the Heart,2
2016,M,45-54,Not Stated,Total,89
2016,F,35-44,Not Stated,Cerebrovascular Disease,1
2016,M,9-Jan,Other Non Hispanic,Total,4
2016,F,9-Jan,Other Non Hispanic,Accidents,2
2016,F,35-44,Other Non Hispanic,All Other Causes,12
2016,M,75-84,White Non Hispanic,Diabetes Mellitus,84
2016,F,75-84,White Non Hispanic,CLRD,988
2016,M,65-74,Not Stated,Diseases of the Heart,63
2016,F,35-44,Black Non Hispanic,Cerebrovascular Disease,10
2016,M,85+,Black Non Hispanic,Cerebrovascular Disease,69
2016,M,25-34,Black Non Hispanic,CLRD,7
2016,M,75-84,Black Non Hispanic,AIDS,2
2016,F,20-24,Black Non Hispanic,Accidents,7
2016,F,65-74,Other Non Hispanic,Accidents,8
2016,F,<1,White Non Hispanic,Diseases of the Heart,3
2016,M,65-74,Hispanic,CLRD,35
2016,M,35-44,White Non Hispanic,Diabetes Mellitus,4
2016,M,75-84,White Non Hispanic,Accidents,289
2016,F,<1,Not Stated,Diseases of the Heart,1
2016,F,<1,Black Non Hispanic,All Other Causes,144
2016,M,85+,Other Non Hispanic,Diseases of the Heart,223
2016,F,65-74,White Non Hispanic,Accidents,158
2016,F,45-54,Black Non Hispanic,All Other Causes,248
2016,F,9-Jan,Hispanic,Total,18
2016,F,65-74,Hispanic,CLRD,38
2016,M,35-44,White Non Hispanic,Accidents,441
2016,F,55-64,Hispanic,Malignant Neoplasms,294
2016,M,25-34,White Non Hispanic,Accidents,654
2016,M,<1,White Non Hispanic,Diseases of the Heart,4
2016,F,20-24,White Non Hispanic,Diseases of the Heart,5
2016,F,20-24,Hispanic,All Other Causes,22
2016,M,19-Oct,Not Stated,CLRD,1
2016,M,35-44,Hispanic,Malignant Neoplasms,42
2016,M,35-44,Black Non Hispanic,Total,474
2016,M,<1,White Non Hispanic,Malignant Neoplasms,2
2016,F,9-Jan,Hispanic,Malignant Neoplasms,4
2016,F,45-54,White Non Hispanic,Cerebrovascular Disease,50
2016,M,75-84,Hispanic,Diseases of the Heart,469
2016,F,25-34,Other Non Hispanic,All Other Causes,22
2016,F,45-54,Hispanic,All Other Causes,127
2016,M,45-54,Not Stated,Pneumonia,2
2016,F,85+,Black Non Hispanic,Pneumonia,107
2016,F,55-64,Black Non Hispanic,Pneumonia,36
2016,F,45-54,Hispanic,Diabetes Mellitus,3
2016,M,20-24,White Non Hispanic,All Other Causes,152
2016,M,20-24,Other Non Hispanic,Diseases of the Heart,1
2016,M,85+,White Non Hispanic,Total,"17,067"
2016,M,85+,Hispanic,All Other Causes,348
2016,F,65-74,White Non Hispanic,Malignant Neoplasms,"3,228"
2016,F,65-74,Other Non Hispanic,Total,389
2016,F,20-24,White Non Hispanic,CLRD,4
2016,F,55-64,Not Stated,CLRD,5
2016,M,25-34,Other Non Hispanic,Accidents,19
2016,F,20-24,Other Non Hispanic,Accidents,1
2016,F,55-64,Black Non Hispanic,Malignant Neoplasms,589
2016,M,<1,Black Non Hispanic,All Other Causes,150
2016,M,55-64,Black Non Hispanic,CLRD,58
2016,F,45-54,Not Stated,Total,45
2016,F,55-64,White Non Hispanic,Pneumonia,80
2016,M,85+,Not Stated,Pneumonia,9
2016,F,20-24,Black Non Hispanic,Malignant Neoplasms,4
2016,F,85+,White Non Hispanic,CLRD,"1,199"
2016,M,65-74,Not Stated,AIDS,7
2016,M,55-64,Black Non Hispanic,All Other Causes,553
2016,F,20-24,Black Non Hispanic,Total,65
2016,F,75-84,Not Stated,Pneumonia,7
2016,M,<1,White Non Hispanic,Total,228
2016,M,25-34,Not Stated,All Other Causes,10
2016,M,45-54,White Non Hispanic,AIDS,16
2016,F,35-44,Not Stated,Total,23
2016,M,20-24,Other Non Hispanic,CLRD,1
2016,M,25-34,White Non Hispanic,Diseases of the Heart,53
2016,F,25-34,White Non Hispanic,Pneumonia,6
2016,F,65-74,Hispanic,Accidents,15
2016,M,25-34,White Non Hispanic,Malignant Neoplasms,55
2016,M,85+,Other Non Hispanic,Malignant Neoplasms,100
2016,F,45-54,Not Stated,Accidents,3
2016,M,<1,Hispanic,All Other Causes,90
2016,M,85+,Hispanic,AIDS,3
2016,M,<1,White Non Hispanic,Accidents,9
2016,F,55-64,Other Non Hispanic,Cerebrovascular Disease,12
2016,F,19-Oct,Black Non Hispanic,Diseases of the Heart,2
2016,M,25-34,Hispanic,CLRD,3
2016,M,35-44,Hispanic,CLRD,1
2016,M,85+,White Non Hispanic,Diseases of the Heart,"6,232"
2016,M,45-54,Hispanic,Malignant Neoplasms,145
2016,F,55-64,Black Non Hispanic,Cerebrovascular Disease,53
2016,F,55-64,Not Stated,Accidents,3
2016,F,35-44,White Non Hispanic,Total,676
2016,M,55-64,Hispanic,Diseases of the Heart,350
2016,M,55-64,White Non Hispanic,Pneumonia,101
2016,M,85+,Black Non Hispanic,Malignant Neoplasms,232
2016,F,25-34,Black Non Hispanic,All Other Causes,116
2016,M,20-24,Hispanic,Total,134
2016,F,75-84,Other Non Hispanic,Malignant Neoplasms,154
2016,F,75-84,Hispanic,AIDS,3
2016,M,25-34,Black Non Hispanic,Malignant Neoplasms,15
2016,F,25-34,Hispanic,Total,128
2016,M,20-24,Hispanic,Cerebrovascular Disease,1
2016,M,45-54,Not Stated,CLRD,1
2016,M,55-64,Hispanic,All Other Causes,356
2016,M,25-34,Hispanic,Total,360
2016,M,65-74,Not Stated,Total,205
2016,F,65-74,White Non Hispanic,All Other Causes,"2,096"
2016,F,19-Oct,Hispanic,Malignant Neoplasms,4
2016,M,55-64,Other Non Hispanic,All Other Causes,104
2016,F,35-44,Not Stated,Accidents,3
2016,M,35-44,Hispanic,Accidents,152
2016,F,19-Oct,Hispanic,Accidents,7
2016,F,25-34,White Non Hispanic,Diseases of the Heart,23
2016,F,65-74,White Non Hispanic,Diabetes Mellitus,56
2016,M,19-Oct,Other Non Hispanic,Diseases of the Heart,1
2016,F,25-34,Hispanic,All Other Causes,57
2016,M,75-84,Hispanic,Pneumonia,60
2016,F,55-64,Hispanic,Diabetes Mellitus,8
2016,F,65-74,Black Non Hispanic,Diabetes Mellitus,20
2016,M,65-74,Not Stated,Accidents,7
2016,F,35-44,Black Non Hispanic,Diabetes Mellitus,3
2016,F,75-84,Other Non Hispanic,Pneumonia,31
2016,F,20-24,Black Non Hispanic,Pneumonia,3
2016,F,35-44,White Non Hispanic,Diseases of the Heart,56
2016,F,25-34,Not Stated,Accidents,5
2016,F,<1,Other Non Hispanic,All Other Causes,28
2016,M,9-Jan,Other Non Hispanic,Malignant Neoplasms,1
2016,M,65-74,Hispanic,Cerebrovascular Disease,58
2016,M,35-44,Black Non Hispanic,Malignant Neoplasms,57
2016,M,45-54,Black Non Hispanic,Total,"1,114"
2016,F,9-Jan,Not Stated,Total,6
2016,F,55-64,Not Stated,Total,93
2016,F,65-74,Not Stated,Diseases of the Heart,39
2016,F,<1,Hispanic,Cerebrovascular Disease,1
2016,M,45-54,Hispanic,Diabetes Mellitus,4
2016,M,9-Jan,Black Non Hispanic,All Other Causes,20
2016,M,19-Oct,White Non Hispanic,Malignant Neoplasms,15
2016,M,9-Jan,Black Non Hispanic,Accidents,7
2016,F,19-Oct,White Non Hispanic,Total,86
2016,F,20-24,Hispanic,Pneumonia,1
2016,M,25-34,Hispanic,Malignant Neoplasms,19
2016,M,55-64,Other Non Hispanic,Accidents,14
2016,M,45-54,Black Non Hispanic,AIDS,34
2016,M,85+,Other Non Hispanic,Pneumonia,44
2016,F,35-44,Black Non Hispanic,Malignant Neoplasms,80
2016,M,85+,Other Non Hispanic,Diabetes Mellitus,2
2016,F,55-64,Hispanic,AIDS,12
2016,M,35-44,Other Non Hispanic,Pneumonia,1
2016,M,65-74,Hispanic,Accidents,28
2016,M,65-74,Other Non Hispanic,Diseases of the Heart,162
2016,M,85+,Other Non Hispanic,All Other Causes,200
2016,F,65-74,Other Non Hispanic,Diabetes Mellitus,4
2016,M,65-74,Black Non Hispanic,Accidents,69
2016,F,55-64,Hispanic,Total,779
2016,M,55-64,Hispanic,Malignant Neoplasms,311
2016,F,85+,White Non Hispanic,Diseases of the Heart,"10,293"
2016,F,19-Oct,Hispanic,CLRD,1
2016,F,55-64,Other Non Hispanic,Diseases of the Heart,43
2016,M,85+,Black Non Hispanic,Diabetes Mellitus,6
2016,M,45-54,Hispanic,AIDS,21
2016,F,25-34,Hispanic,Malignant Neoplasms,26
2016,F,85+,Black Non Hispanic,Total,"2,991"
2016,M,19-Oct,Not Stated,Malignant Neoplasms,1
2016,F,75-84,Not Stated,All Other Causes,64
2016,F,45-54,White Non Hispanic,Malignant Neoplasms,739
2016,F,45-54,White Non Hispanic,CLRD,56
2016,F,19-Oct,Black Non Hispanic,Cerebrovascular Disease,1
2016,F,85+,Other Non Hispanic,Malignant Neoplasms,132
2016,F,35-44,Hispanic,Diseases of the Heart,15
2016,M,55-64,Black Non Hispanic,Cerebrovascular Disease,68
2016,M,25-34,Other Non Hispanic,All Other Causes,33
2016,F,<1,Not Stated,Pneumonia,1
2016,M,25-34,Hispanic,Diseases of the Heart,25
2016,F,75-84,Hispanic,Pneumonia,74
2016,M,45-54,Other Non Hispanic,Diseases of the Heart,54
2016,M,65-74,Not Stated,CLRD,7
2016,M,25-34,Other Non Hispanic,Diseases of the Heart,9
2016,M,75-84,Other Non Hispanic,Diseases of the Heart,217
2016,M,35-44,Not Stated,Malignant Neoplasms,7
2016,M,25-34,Black Non Hispanic,Cerebrovascular Disease,6
2016,F,35-44,Hispanic,CLRD,7
2016,F,19-Oct,Not Stated,All Other Causes,2
2016,F,85+,Black Non Hispanic,All Other Causes,"1,091"
2016,F,65-74,Hispanic,Cerebrovascular Disease,39
2016,F,20-24,Black Non Hispanic,AIDS,5
2016,M,<1,Other Non Hispanic,Accidents,2
2016,F,55-64,Black Non Hispanic,Diabetes Mellitus,13
2016,F,35-44,White Non Hispanic,Malignant Neoplasms,185
2016,F,45-54,Black Non Hispanic,Malignant Neoplasms,315
2016,M,65-74,Other Non Hispanic,Total,631
2016,M,65-74,Black Non Hispanic,Total,"2,316"
2016,F,35-44,White Non Hispanic,CLRD,4
2016,M,20-24,Hispanic,All Other Causes,52
2016,M,45-54,White Non Hispanic,Diabetes Mellitus,14
2016,F,55-64,Hispanic,All Other Causes,228
2016,M,35-44,White Non Hispanic,AIDS,9
2016,F,20-24,White Non Hispanic,Pneumonia,3
2016,M,75-84,Black Non Hispanic,CLRD,56
2016,F,55-64,Other Non Hispanic,Total,249
2016,F,75-84,Black Non Hispanic,All Other Causes,735
2016,F,85+,Black Non Hispanic,Diseases of the Heart,"1,157"
2016,F,75-84,Black Non Hispanic,CLRD,86
2016,F,19-Oct,Other Non Hispanic,Diseases of the Heart,1
2016,M,75-84,Black Non Hispanic,Cerebrovascular Disease,93
2016,M,25-34,Black Non Hispanic,Total,385
2016,F,45-54,Not Stated,AIDS,2
2016,F,45-54,Black Non Hispanic,Accidents,68
2016,M,65-74,Black Non Hispanic,Cerebrovascular Disease,86
2016,M,9-Jan,Black Non Hispanic,Cerebrovascular Disease,1
2016,M,55-64,Other Non Hispanic,Malignant Neoplasms,176
2016,M,<1,Other Non Hispanic,Total,35
2016,M,65-74,Other Non Hispanic,All Other Causes,156
2016,M,75-84,Hispanic,Cerebrovascular Disease,49
2016,F,<1,White Non Hispanic,Accidents,9
2016,F,65-74,Other Non Hispanic,Pneumonia,12
2016,F,65-74,Other Non Hispanic,Diseases of the Heart,94
2016,F,19-Oct,Not Stated,Malignant Neoplasms,1
2016,F,19-Oct,Hispanic,All Other Causes,12
2016,F,45-54,Other Non Hispanic,Total,158
2016,M,<1,White Non Hispanic,CLRD,1
2016,M,25-34,White Non Hispanic,CLRD,3
2016,M,35-44,Other Non Hispanic,Malignant Neoplasms,31
2016,F,55-64,Not Stated,Diabetes Mellitus,1
2016,F,85+,Not Stated,Diabetes Mellitus,3
2016,F,<1,White Non Hispanic,Total,187
2016,F,75-84,White Non Hispanic,Malignant Neoplasms,"3,401"
2016,M,85+,Black Non Hispanic,All Other Causes,402
2016,M,55-64,Other Non Hispanic,CLRD,6
2016,M,45-54,Black Non Hispanic,All Other Causes,330
2016,M,85+,Hispanic,Diseases of the Heart,354
2016,M,9-Jan,Black Non Hispanic,Total,41
2016,M,85+,Hispanic,Diabetes Mellitus,6
2016,M,<1,Black Non Hispanic,Total,157
2016,M,45-54,White Non Hispanic,Diseases of the Heart,762
2016,F,65-74,Black Non Hispanic,Pneumonia,49
2016,M,75-84,Black Non Hispanic,Accidents,40
2016,M,35-44,Not Stated,All Other Causes,18
2016,F,20-24,Hispanic,Accidents,8
2016,M,19-Oct,Hispanic,CLRD,2
2016,F,<1,Hispanic,Total,96
2016,M,45-54,White Non Hispanic,All Other Causes,"1,081"
2016,F,<1,Black Non Hispanic,Total,151
2016,M,25-34,Other Non Hispanic,Malignant Neoplasms,13
2016,F,85+,Other Non Hispanic,Cerebrovascular Disease,69
2016,F,25-34,Black Non Hispanic,Malignant Neoplasms,21
2016,M,45-54,Hispanic,Accidents,163
2016,M,65-74,White Non Hispanic,Cerebrovascular Disease,313
2016,M,55-64,Hispanic,AIDS,38
2016,F,35-44,Black Non Hispanic,Total,335
2016,F,19-Oct,Black Non Hispanic,All Other Causes,21
2016,M,20-24,Not Stated,Total,10
2016,F,19-Oct,White Non Hispanic,All Other Causes,42
2016,M,85+,Hispanic,Accidents,21
2016,M,45-54,White Non Hispanic,Malignant Neoplasms,678
2016,F,9-Jan,Other Non Hispanic,Malignant Neoplasms,1
2016,F,25-34,Black Non Hispanic,Diabetes Mellitus,4
2016,F,85+,Not Stated,Total,265
